Workload,Project_Name,Work_Units,Nodes,Power_per_Node_kW,Runtime_h,kWh,Perf_W,Key_Risks
Climate Risk and Resilience Modeling,Cambridge Computational Biology Group Science Collaboration,47896.05783,62,5.178166187,2.917108806,994.5435324,344.9729187,Limited algorithmic scalability
Genome-scale Systems Biology,Caltech Center for Advanced Computing Scientific Computing Division,43893.19053,60,5.633911056,2.584242138,1078.336834,355.4841707,Algorithmic instability with large datasets
Geophysical Hazard Prediction,ORNL Climate Change Science Institute Applied Science Group,48397.55035,66,6.529889369,2.664086714,949.6022208,361.096359,Load imbalance in parallel workloads
Astrophysical Simulations,Tokyo Institute of Technology HPC Center Prediction Unit,46667.55965,56,5.716071106,2.527212884,986.6259003,321.0403047,I/O throughput limitations
Accelerator Beam Dynamics Simulation,Harvard Center for the Environment Modeling Team,53373.60708,53,5.939872372,2.541479994,907.8454666,325.2661552,Fault tolerance under long runs
Plasma Fusion Simulation,Brookhaven National Laboratory Collider-Accelerator Department Prediction Unit,52976.41312,55,6.069400218,2.552625114,965.8101967,374.6504816,Fault tolerance under long runs
Climate Risk and Resilience Modeling,SLAC National Accelerator Laboratory Machine Learning Group Research Group,49964.88339,58,5.985892211,2.694411068,1069.939949,369.8125551,Performance regression with new compiler versions
Quantum Climate Modeling,University of Illinois National Center for Supercomputing Applications Scientific Computing Division,49572.968,64,5.253465342,2.595824187,982.9880914,354.6801367,NUMA-related performance penalties
Radiation Transport Modeling,LBNL Computational Research Division Simulation Consortium,51903.80361,57,5.887941303,2.712738858,965.8093293,371.4381296,GPU memory capacity limits
Renewable Energy Systems Optimization,ANL Materials Science Division Research Group,53174.46594,55,5.851484751,2.671242032,966.9738423,363.563515,Thermal throttling under sustained load
Genome-scale Systems Biology,Fermilab High Energy Physics Division Scientific Computing Division,43685.83282,65,5.999285019,2.388395728,1072.205275,366.1953182,Data preprocessing bottlenecks
Turbulent Combustion Modeling,Georgia Tech Computational Combustion Laboratory Prediction Unit,52145.92295,56,6.032975251,2.903928614,1011.828649,360.3380403,"Scaling inefficiencies beyond 1,000 nodes"
High-Resolution Earth System Simulation,University of Illinois National Center for Supercomputing Applications Modeling Team,51379.17155,59,5.61042032,2.539044435,990.7909812,353.2949665,Power consumption spikes during peak loads
Nuclear Structure and Reactions Modeling,Berkeley Quantum Devices Group HPC Lab,47084.85969,65,5.349026474,2.517340301,912.1299135,375.5169805,Underutilization of SIMD instructions
Renewable Energy Systems Optimization,NERSC Data and Analytics Services Science Collaboration,41476.92197,51,5.285777774,2.682402517,1073.223823,368.6289405,Unoptimized GPU kernel execution
Geophysical Hazard Prediction,SLAC National Accelerator Laboratory Machine Learning Group Science Collaboration,47582.56111,59,6.009322519,2.621962424,948.2153707,365.3971715,Power consumption spikes during peak loads
Radiation Transport Modeling,University of Illinois National Center for Supercomputing Applications Applied Science Group,49865.38731,68,6.172451909,2.651501686,1042.991631,411.8498045,I/O throughput limitations
Geophysical Hazard Prediction,University of Chicago Quantum Information Science Group Scientific Computing Division,46187.51464,69,6.084464171,2.747890835,1067.55325,374.782117,Memory bandwidth constraints
Exascale Astrophysical Plasma Simulation,Max Planck Institute for Plasma Physics Scientific Computing Division,42996.98488,57,6.094619004,2.523178612,1090.799482,347.6440918,Interconnect congestion
Accelerator Beam Dynamics Simulation,University of Chicago Quantum Information Science Group Science Collaboration,48893.83046,61,5.801538894,2.536491579,1005.531181,375.593125,Network latency bottlenecks
Cryogenic Detector Simulation,Columbia University Earth Institute HPC Lab,57145.74427,57,5.435507045,2.4596572,1014.977623,406.1955752,Debugging complexity in large-scale runs
Plasma Fusion Simulation,ORNL Climate Change Science Institute Simulation Consortium,47214.98329,60,5.973371153,3.017686816,995.9339516,314.8646565,Memory bandwidth constraints
High-Resolution Earth System Simulation,Stanford Genome Technology Center Applied Science Group,51748.7591,60,5.863938535,2.877798953,964.6603759,379.4190184,Debugging complexity in large-scale runs
Astrophysical Simulations,Fermilab High Energy Physics Division Data Science Unit,53362.22987,58,6.516799616,2.823732228,920.4202746,343.4993114,Algorithmic instability with large datasets
AI Climate Modeling and Prediction,EPFL High Performance Computing Center Simulation Consortium,50613.09406,63,5.840476984,2.743994557,918.2093647,339.2291508,MPI collective operation contention
High Energy Physics Event Simulation,Georgia Tech Computational Combustion Laboratory HPC Lab,51089.49591,61,6.1247434,2.85121834,1033.724836,376.6738606,Interconnect congestion
Renewable Energy Systems Optimization,Max Planck Institute for Plasma Physics Technology Development Team,46970.15267,60,6.43230073,2.697410419,880.982615,427.6806627,Insufficient profiling data for tuning
Plasma Fusion Simulation,MIT Plasma Science and Fusion Center Simulation Consortium,43677.35424,58,5.998325801,2.812369545,997.5840538,370.2150648,Limited algorithmic scalability
Renewable Energy Systems Optimization,LLNL High Energy Density Physics Group Technology Development Team,45677.76786,57,5.74209738,2.537171401,994.9028393,370.197132,Insufficient checkpoint/restart performance
Astrophysical Simulations,Max Planck Institute for Plasma Physics Scientific Computing Division,44101.22765,55,6.716302176,3.104407086,996.5967999,350.5145597,Memory bandwidth constraints
Computational Fluid Dynamics for Energy,Brookhaven National Laboratory Collider-Accelerator Department Applied Science Group,44718.55054,55,5.453001063,2.34131727,1072.844859,355.1160577,Fault tolerance under long runs
Cryogenic Detector Simulation,Cambridge Computational Biology Group HPC Lab,47541.74386,69,5.591467883,2.409464265,1069.945318,372.4030603,Insufficient checkpoint/restart performance
Quantum Climate Modeling,MIT Plasma Science and Fusion Center Science Collaboration,47868.2138,60,5.376302438,2.459054719,934.8897197,372.4860067,Unoptimized GPU kernel execution
Computational Chemistry for Energy Storage,Berkeley Quantum Devices Group Applied Science Group,47996.1878,58,6.13978347,2.592591028,893.4909257,346.8695185,Limited algorithmic scalability
High Energy Physics Event Simulation,EPFL High Performance Computing Center Applied Science Group,55732.52678,63,5.595858344,2.759555955,917.9054336,384.1602836,Unoptimized GPU kernel execution
Computational Chemistry for Energy Storage,SLAC National Accelerator Laboratory Machine Learning Group Technology Development Team,52618.08042,58,5.685333727,2.920418223,933.5848512,311.3353573,"Scaling inefficiencies beyond 1,000 nodes"
Exascale Astrophysical Plasma Simulation,LLNL High Energy Density Physics Group Simulation Consortium,55853.32401,56,5.797091108,2.883946329,976.973536,374.5358597,Insufficient checkpoint/restart performance
Quantum Climate Modeling,Brookhaven National Laboratory Collider-Accelerator Department Scientific Computing Division,56602.86641,60,5.766379174,2.701772433,1024.166709,381.1007337,Underutilization of SIMD instructions
High-Resolution Earth System Simulation,EPFL High Performance Computing Center Science Collaboration,43206.71558,56,6.00174348,2.501287508,1113.278341,350.4913578,Algorithmic instability with large datasets
Geophysical Hazard Prediction,MIT Plasma Science and Fusion Center Data Science Unit,45589.92334,59,5.202172031,2.492880742,985.824924,373.724034,Unoptimized GPU kernel execution
Turbulent Combustion Modeling,EPFL High Performance Computing Center Data Science Unit,50407.74946,56,5.813411713,2.444575695,933.3980593,364.546199,Memory bandwidth constraints
AI Climate Modeling and Prediction,Los Alamos National Laboratory Materials Physics and Applications Technology Development Team,42459.17388,57,5.786056374,2.541734766,963.922571,363.020756,Load imbalance in parallel workloads
AI Climate Modeling and Prediction,Cambridge Computational Biology Group Data Science Unit,54389.11942,60,5.56670782,2.504054729,867.2828958,367.0805831,Interconnect congestion
Astrophysical Simulations,Los Alamos National Laboratory Materials Physics and Applications Scientific Computing Division,53061.07231,53,6.022610252,2.767724535,839.9541299,354.1785695,Data preprocessing bottlenecks
Exascale Astrophysical Plasma Simulation,Tokyo Institute of Technology HPC Center HPC Lab,44198.62792,52,5.804213115,2.217557686,1018.314607,363.3257043,Unoptimized GPU kernel execution
Renewable Energy Systems Optimization,Columbia University Earth Institute Modeling Team,50338.09341,66,5.819201092,2.369212944,948.3268266,341.6483561,Limited algorithmic scalability
Nuclear Structure and Reactions Modeling,University of Chicago Quantum Information Science Group Technology Development Team,52671.58562,67,5.895338433,2.703980676,964.683312,384.7003313,Interconnect congestion
Geophysical Hazard Prediction,ORNL Climate Change Science Institute Prediction Unit,46056.57129,60,6.080296263,2.673864639,867.1758278,360.9699235,Memory bandwidth constraints
Radiation Transport Modeling,Stanford Genome Technology Center Applied Science Group,45423.51805,60,5.730069429,2.671295758,893.4526157,332.3272848,Algorithmic instability with large datasets
Quantum Climate Modeling,Harvard Center for the Environment Research Group,44552.37657,54,5.686566765,2.503912425,997.3543557,373.5352904,Performance regression with new compiler versions
Accelerator Beam Dynamics Simulation,University of Illinois National Center for Supercomputing Applications Prediction Unit,54460.34611,53,5.191799312,2.611282047,968.0453779,397.8000483,Memory bandwidth constraints
Quantum Climate Modeling,SLAC National Accelerator Laboratory Machine Learning Group Science Collaboration,49297.1475,59,5.560550257,2.60478946,1040.726225,376.1416904,I/O throughput limitations
High Energy Physics Event Simulation,Brookhaven National Laboratory Collider-Accelerator Department Technology Development Team,49072.29531,60,6.078252776,2.591980402,985.0488335,398.2962543,Limited algorithmic scalability
Quantum Climate Modeling,NERSC Data and Analytics Services Applied Science Group,52057.69661,52,4.961470428,2.565740995,1029.919323,365.5104073,Dependency on single vendor hardware
Geophysical Hazard Prediction,Stanford Genome Technology Center Applied Science Group,47744.12807,58,4.866889033,2.572820947,861.5030263,312.1202218,Underutilization of SIMD instructions
Climate Risk and Resilience Modeling,EPFL High Performance Computing Center Prediction Unit,44484.64779,52,5.775897201,3.106772941,936.457563,339.0787368,Software stack instability
Computational Fluid Dynamics for Energy,LLNL High Energy Density Physics Group Research Group,53787.50247,58,6.244676002,2.960502768,960.7474535,348.5486964,Compiler optimization issues
Turbulent Combustion Modeling,Harvard Center for the Environment Research Group,45961.0223,58,5.753668971,2.971676746,1121.197314,366.2857906,NUMA-related performance penalties
Cryogenic Detector Simulation,University of Illinois National Center for Supercomputing Applications Research Group,47014.63245,64,6.332023966,2.382073569,1095.055209,325.3220419,Insufficient checkpoint/restart performance
Quantum Climate Modeling,NERSC Data and Analytics Services Modeling Team,43472.6105,54,5.750532441,3.014134206,1042.87245,371.4206454,Interconnect congestion
